,RADIATION,TEMP,HUMIDITY_h
2003-03-21,17306.0,20.329166666666666,81.375
2003-03-22,10357.0,19.037499999999998,88.25
2003-03-23,10708.0,18.029166666666665,89.25
2003-03-24,12355.0,18.520833333333332,87.95833333333333
2003-03-25,19740.0,19.2625,80.95833333333333
2003-03-26,6344.0,17.71875,86.9375
2003-03-27,9821.66970000002,17.897883333333198,87.61368831168839
2003-03-28,4013.0,20.099999999999998,75.33333333333333
2003-03-29,20857.0,18.216666666666665,79.25
2003-03-30,22610.0,19.604166666666668,74.91666666666667
2003-03-31,21139.0,20.558333333333334,75.125
2003-04-01,16742.0,20.908333333333335,73.33333333333333
2003-04-02,14622.0,19.3125,77.375
2003-04-03,14241.0,18.960869565217394,84.17391304347827
2003-04-04,13360.0,19.287499999999998,86.29166666666667
2003-04-05,21066.0,21.025000000000002,77.0
2003-04-06,15305.0,20.666666666666668,80.83333333333333
2003-04-07,11241.0,18.349999999999998,90.41666666666667
2003-04-08,16140.0,17.474999999999998,85.41666666666667
2003-04-09,9581.0,18.825,89.45833333333333
2003-04-10,11883.0,19.8125,85.29166666666667
2003-04-11,19665.0,18.9375,82.54166666666667
2003-04-12,15419.0,20.495833333333334,76.83333333333333
2003-04-13,10010.0,15.841666666666667,87.16666666666667
2003-04-14,10391.0,15.5375,83.83333333333333
2003-04-15,6110.0,15.843478260869563,88.3913043478261
2003-04-16,11835.0,16.599999999999998,84.36363636363636
2003-04-17,19453.0,17.466666666666665,79.45833333333333
2003-04-18,18972.0,18.116666666666667,78.625
2003-04-19,19437.0,19.929166666666667,75.54166666666667
2003-04-20,19675.0,20.491666666666667,70.83333333333333
2003-04-21,16805.0,19.370833333333334,81.70833333333333
2003-04-22,18984.0,19.904166666666665,83.29166666666667
2003-04-23,18072.0,17.38181818181818,82.77272727272727
2003-04-24,12695.0,17.604166666666668,86.08333333333333
2003-04-25,12692.0,18.645833333333332,82.66666666666667
2003-04-26,21058.0,19.633333333333333,73.04166666666667
2003-04-27,15820.0,20.183333333333334,69.29166666666667
2003-04-28,20155.0,21.0125,59.333333333333336
2003-04-29,20076.0,20.51666666666667,60.666666666666664
2003-04-30,20228.0,20.662499999999998,62.25
2003-05-01,17455.0,20.816666666666666,60.75
2003-05-02,12557.0,21.933333333333334,59.25
2003-05-03,7127.0,14.450000000000001,87.125
2003-05-04,18882.0,13.495833333333332,80.91666666666667
2003-05-05,13989.0,15.783333333333333,83.04166666666667
2003-05-06,3317.0,16.1,92.75
2003-05-07,18859.0,15.5875,72.45833333333333
2003-05-08,20084.0,13.752173913043478,55.26086956521739
2003-05-09,13252.0,13.131818181818181,65.95454545454545
2003-05-10,14259.0,14.166666666666666,81.45833333333333
2003-05-11,10056.0,14.4,84.16666666666667
2003-05-12,9998.0,13.633333333333333,89.79166666666667
2003-05-13,15299.0,15.413636363636364,81.13636363636364
2003-05-14,14199.0,15.629166666666668,83.75
2003-05-15,12654.0,16.254166666666666,88.41666666666667
2003-05-16,11924.255300000023,15.183333333333332,92.66666666666667
2003-05-17,12261.637300000017,14.87894999999986,90.8009342105262
2003-05-18,12662.711700000018,15.54202608695654,85.64704787784687
2003-05-19,13913.0,17.181818181818183,75.63636363636364
2003-05-20,14940.0,16.704166666666666,81.04166666666667
2003-05-21,11558.0,18.1875,77.45833333333333
2003-05-22,15303.0,19.291666666666668,64.66666666666667
2003-05-23,16343.0,19.4375,61.458333333333336
2003-05-24,5631.0,16.233333333333334,84.875
2003-05-25,17456.0,15.512500000000001,66.54166666666667
2003-05-26,18246.0,14.595833333333333,48.5
2003-05-27,8588.0,14.178947368421051,63.473684210526315
2003-05-28,12070.349599999987,13.783333333333333,90.5
2003-05-29,10234.0,17.827272727272728,73.27272727272727
2003-05-30,13061.0,15.970833333333333,81.45833333333333
2003-05-31,14127.0,16.195833333333333,76.54166666666667
2003-06-01,15623.0,16.934782608695652,67.26086956521739
2003-06-02,16335.0,17.5,66.5
2003-06-03,15070.0,18.7,66.0
2003-06-04,12757.0,19.89090909090909,71.54545454545455
2003-06-05,11231.0,18.420833333333334,78.45833333333333
2003-06-06,14931.0,20.19473684210526,66.94736842105263
2003-06-07,12962.0,19.0125,75.625
2003-06-08,11840.0,18.316666666666666,82.70833333333333
2003-06-09,10810.0,17.7625,85.125
2003-06-10,8730.0,17.870833333333334,80.79166666666667
2003-06-11,16148.0,18.295833333333334,67.0
2003-06-12,16090.0,18.491666666666667,60.833333333333336
2003-06-13,15470.0,18.05,70.45833333333333
2003-06-14,15057.0,18.308333333333334,71.95833333333333
2003-06-15,14544.0,16.941666666666666,77.95833333333333
2003-06-16,15042.0,15.887500000000001,81.08333333333333
2003-06-17,16120.0,16.391666666666666,72.45833333333333
2003-06-18,14423.0,16.745833333333334,58.625
2003-06-19,15796.0,17.625,59.833333333333336
2003-06-20,14380.0,17.55,63.0
2003-06-21,14146.0,16.962500000000002,65.375
2003-06-22,16210.0,16.504166666666666,52.25
2003-06-23,15860.0,16.895833333333332,55.333333333333336
2003-06-24,15922.0,17.858333333333334,59.416666666666664
2003-06-25,15845.0,16.29583333333333,68.20833333333333
2003-06-26,15994.0,17.004166666666666,61.5
2003-06-27,15861.0,15.641666666666666,72.08333333333333
2003-06-28,16096.0,16.5125,61.125
2003-06-29,16270.0,16.870833333333334,51.625
2003-06-30,16313.0,14.191666666666668,71.20833333333333
2003-07-01,16020.0,14.295833333333334,72.875
2003-07-02,16277.0,15.0,62.666666666666664
2003-07-03,16079.0,14.549999999999999,64.45833333333333
